"5%","50%","95%","mean","stdv","BandName"
12482.5027119439,13095.9966865407,13721.4019744409,13092.0229212293,398.968966421151,"Intercept"
4896.82003807025,9854.30590151402,14015.3424995842,9715.56742732931,2747.54893358052,"X400"
5616.04479603713,10627.380470153,14341.3646386839,10357.8610144076,2633.49143499708,"X420"
2700.8241701188,6284.09998399821,9413.02759299625,6247.75898063985,2103.36793604744,"X440"
940.952438732821,4268.22933047381,7174.99327229815,4223.61195525454,1974.67893669626,"X460"
-848.201961227786,2459.60806930434,5238.74312835307,2388.80636612156,1905.2249121323,"X480"
-909.769944208475,2023.28978559231,4890.92982659697,2011.3413300357,1828.44635878533,"X500"
5929.46443234636,11512.5010072771,17925.5775423991,11608.5811844632,3725.95455021398,"X520"
-12595.1554107778,-4868.56984146764,2116.17066054675,-5025.81424830647,4541.72096075159,"X540"
-27810.6455647796,-21610.9931532546,-15196.5028926736,-21637.5733094481,3831.86513913821,"X560"
-25934.9222351271,-22239.5492850533,-18515.222720003,-22206.4602501812,2216.84906066808,"X580"
-22514.2884044305,-18711.9181350804,-14768.4494603235,-18674.7217548355,2317.71342765026,"X600"
-18832.7185451723,-14930.6081505715,-10763.756597693,-14921.8493311036,2470.91690110637,"X620"
-18437.8829983747,-14063.6625592699,-8835.35724749447,-13977.3438038977,2963.70766663976,"X640"
-13863.1080778927,-9297.12486722396,-3960.80921999474,-9178.32851439721,3033.33569880172,"X660"
-8528.34828293028,-3973.03231762531,1518.3450689494,-3794.30919490966,3104.2524272876,"X680"
-26899.8416693402,-17134.2008691301,-8250.84641596057,-17356.2006688895,5537.58671938174,"X700"
-95973.6152250472,-87077.1226328802,-79468.1975430677,-87414.3345670918,5018.79363140894,"X720"
-125886.157129368,-116338.9040479,-108373.903874612,-116532.845945747,5358.37273498532,"X740"
-141005.335257589,-129038.001433861,-116154.628068302,-128715.177046426,7767.74278321616,"X760"
