"5%","50%","95%","mean","stdv","BandName"
3638.24462358775,3964.52537358124,4318.25958965607,3966.00159693018,210.705288753482,"Intercept"
-1833.50444436495,9542.00215822262,20695.6447715825,9542.89675804868,7174.25204306485,"X400"
1562.82152219754,11834.0397879209,20524.9345482229,11444.7709122511,5934.67450610509,"X420"
-5463.32876295683,2348.04822922511,9433.19484715568,2085.37558773782,4687.69290169939,"X440"
-3472.49776526002,2524.06060682743,7372.10637930666,2257.49072849248,3393.13400605429,"X460"
-2558.84373449867,2378.71156287418,6808.55707820841,2275.68306593275,2952.54338147957,"X480"
6132.815572207,10727.0140406257,16187.410318597,10981.8745957382,3081.61172178492,"X500"
50531.6517211416,71243.1662721114,90325.1895470535,70790.3274572983,12350.2588002633,"X520"
17331.2371009214,34541.2852787844,48882.163329932,33953.2271071179,9509.40053758956,"X540"
-40210.0762662508,-26799.4914888029,-13848.1374763578,-26945.758315028,8170.5182343448,"X560"
-48884.975224668,-40873.0556396149,-32838.9852593862,-40967.0211154228,4795.48017753744,"X580"
-48777.3120599741,-41008.699709589,-32910.2309014761,-40880.4889545121,4811.78365365847,"X600"
-35586.7713760737,-28021.7341913142,-18252.6262080504,-27640.9393987012,5321.75980239915,"X620"
-42813.9804783763,-34225.371074248,-22437.6022272234,-33695.3601418671,6122.83971132934,"X640"
-33419.4975814544,-25961.2055951197,-15196.0800522233,-25374.2547354801,5557.89821606494,"X660"
-11103.326553384,-1913.40296600178,7831.03803398923,-1758.13158988539,5839.89490406646,"X680"
10514.5861497904,28700.5323624092,48657.7884369853,28774.2129811873,11757.1356957317,"X700"
-37314.9326822288,-19156.9419642384,-2829.53363845994,-19287.1071318588,10325.2071749162,"X720"
-31063.307193966,-25127.2499648954,-19606.6709459387,-25360.7215715532,3527.58200827474,"X740"
-63738.1237559979,-55451.4090506501,-44931.0142041278,-55009.5879657284,5910.58809879965,"X760"
