"5%","50%","95%","mean","stdv","BandName"
-366.204644642845,-216.016341768736,-30.9530822327805,-207.451811717017,102.190125633176,"Intercept"
4045.02518768938,14585.9547711341,26064.9886999583,14841.298719766,6680.37917625668,"X1200"
-3137.37281639458,3385.08400536246,11273.0834115323,3726.86109236102,4526.86072543156,"X1220"
-12877.1122801739,-7218.95997488591,-3266.025572075,-7635.81294028928,3029.75334003388,"X1240"
-19311.1958326267,-12169.0091917133,-7222.13339400768,-12647.0331905503,3687.58636667943,"X1260"
-19673.7918724184,-12339.5895975907,-5743.82771232174,-12520.6299791323,4316.21192379558,"X1280"
-11553.3372130979,-5089.74366300789,1471.75265787234,-5087.28091917506,3823.6523959359,"X1300"
8567.61410889565,16294.3349994968,26912.4683597275,16951.6871841651,5810.02558740598,"X1320"
12781.4787655055,22242.8984596558,36031.6539006841,22887.4260891797,7146.69671889881,"X1340"
-9539.52467778979,-3168.75488943299,3490.5789105707,-3057.26999093573,4187.13461734325,"X1360"
-15002.9670917901,-8606.66169115323,-2014.74475475209,-8515.52309907336,3999.22615165456,"X1380"
-18415.8700262196,-7280.71997185238,1957.68564686416,-7748.42994094539,6072.39494471482,"X1400"
2876.2388768022,11789.4943394366,19709.2061056511,11706.1609726244,5228.4172040452,"X1420"
4217.05364456817,10978.6798332793,17956.5686377896,11099.3829716447,4351.16378554149,"X1440"
3753.95707114977,10699.4985234871,18938.7346046183,11069.1715649809,4820.38421167984,"X1460"
3062.97607597132,9125.12778045999,14935.4926879248,9145.87329330216,3654.1088445251,"X1480"
-3376.65902122402,1570.25439961036,7088.85225047899,1765.88325178302,3195.12366767545,"X1500"
-8648.59230182557,-2761.62320990861,3542.28518829247,-2637.59038968003,3844.25608378618,"X1520"
-5607.50829294385,-830.770899676734,4544.62820516915,-653.559211170239,3096.33080342097,"X1540"
-7280.72777656523,-3336.81319013018,742.917049148776,-3309.57606343209,2449.01730521219,"X1560"
-22633.1858694173,-16071.8728978683,-10576.2651828809,-16220.5029342286,3731.67907609988,"X1580"
-25180.5466806711,-17711.7422745032,-12170.4294229247,-17933.5991690483,3994.87328972778,"X1600"
-5400.94516546374,97.5500808762862,5417.51439345248,245.432203081781,3303.90594459509,"X1620"
-2815.63546382065,5046.81678111904,11883.909949826,4698.35380049683,4625.06501801128,"X1640"
-12763.4830633244,412.411517716235,10501.2221909925,-93.549541967849,7242.31220254842,"X1660"
1809.43593179733,10481.195965438,20333.5310798215,10753.5690873331,5927.21640298197,"X1680"
-1584.34069663857,9139.52405802635,22416.9244352936,9523.83681110298,7382.66207599815,"X1700"
-8080.89459921285,653.425341600931,8843.60916570111,783.539493784611,5153.87982186256,"X1720"
-14550.3105952591,-2749.4206531945,7397.69991097043,-2932.69681775232,6508.93422734328,"X1740"
3644.40952000286,10781.1267658,18671.186128485,11014.365067656,4748.7451867547,"X1760"
6453.35712857028,17386.7055356405,30547.4886657376,18062.0488720774,7365.394235655,"X1780"
2216.1726051762,9652.75082539065,18578.384023623,9820.22871148283,4864.94103659605,"X1800"
-23324.7824226759,-14057.4562949072,-7486.24826118859,-14471.8335547546,4929.85841295485,"X1820"
-40871.2781420205,-27692.1743899482,-18495.0663400458,-28514.7219679187,6984.59879480155,"X1840"
-6165.88700127087,146.228133391815,6740.65396613127,266.331576847955,4065.00606127496,"X1860"
-17272.472697848,-8085.29120727476,2655.27103567483,-7793.14064461847,5910.41950089585,"X1880"
-12176.8709869885,-2547.05750341558,11799.4482402619,-1570.97632839122,7372.76763596387,"X1900"
-33523.533318312,-20137.0018663608,-10837.2623968996,-21187.0992031153,7229.06798331977,"X1920"
