"5%","50%","95%","mean","stdv","BandName"
55.329704234362,97.2780203765429,138.740762954981,96.845921117732,26.6280474742455,"Intercept"
-1588.17995165345,270.565990161702,2437.4741023952,345.83958411184,1297.61912642216,"X1200"
-2402.44763441894,-961.195361138515,251.874238515262,-1007.28734352856,840.250769645845,"X1220"
61.950710672891,737.801572862241,1742.71203633997,815.709497229201,511.889008863307,"X1240"
-1007.60507303548,-162.928663115761,641.860947833683,-160.694895900412,539.083244635524,"X1260"
-2650.63050426314,-1410.50777146503,-484.655844104343,-1476.47773264305,689.834793815983,"X1280"
-3065.80927366419,-1742.46619304869,-646.490437435738,-1780.80793459081,701.831746623527,"X1300"
-2012.16205669118,-674.470670638126,623.69963101709,-675.11611851146,787.738608164266,"X1320"
-1439.31906448664,151.651402897506,1810.76231549209,170.554069396792,995.270855155465,"X1340"
127.684564105516,1619.56373926544,3312.84042713776,1678.0441657958,992.83277560301,"X1360"
-1544.19873835463,-206.725197347685,726.563916597925,-311.063614763617,705.409172201138,"X1380"
-2019.24928041688,-167.80420753307,1542.97883138546,-187.033166944515,1095.54093707449,"X1400"
-3329.29449771271,-1786.2882836345,-114.879199491278,-1765.07719395015,982.342605529428,"X1420"
-3942.05477025895,-2599.3038609236,-1103.39306409282,-2560.12597125153,879.42326479086,"X1440"
-3782.70524833646,-2555.55856050521,-1381.52769659043,-2522.2726308414,758.008992561858,"X1460"
-3374.96000774599,-2424.8293070624,-1484.99225337914,-2411.6355328548,577.086088260514,"X1480"
-3289.75266032341,-2352.31678845988,-1426.63453571023,-2338.528980422,604.215576964539,"X1500"
-3342.04960995133,-2016.72275462639,-978.182971179082,-2050.13959240651,770.990607817256,"X1520"
-1922.94376498022,-833.824532978813,100.450230496492,-846.230171918904,630.556716230027,"X1540"
193.631745134503,982.716984267169,1770.68530084653,967.164721255493,494.700057982865,"X1560"
1385.83306118825,2912.38015666622,4334.79229994735,2908.17985597552,888.157657387633,"X1580"
1991.23709745521,3725.70696262024,5263.01353586015,3694.32803612466,995.04681194699,"X1600"
1817.03337566944,2923.52860862506,4195.51572796587,2957.31656837232,758.464582985343,"X1620"
-830.918769123254,994.214636161465,2712.38054259967,985.407928946824,1104.45995026711,"X1640"
-3208.53951135798,-1582.47452155112,485.227818708564,-1503.46782857025,1129.16024592508,"X1660"
-1210.20352282666,1703.54938892176,4167.16659158568,1644.84876008852,1678.14041408802,"X1680"
768.872249412366,2183.59499158173,4529.52371989366,2352.15876117444,1207.12794450415,"X1700"
-6723.73396397331,-4738.18948037543,-3171.25820827156,-4806.10659161954,1076.35615747783,"X1720"
-8677.25028197663,-5687.06235777721,-3554.32274462222,-5868.39597947783,1617.70740271622,"X1740"
-3149.65913545031,-1741.42390937882,-579.097076645328,-1798.59372437267,754.269129593605,"X1760"
-1303.43238909973,473.672994264407,2172.46963848895,453.949951921831,1079.0458236312,"X1780"
-117.758083428014,1359.33368565093,2697.22242132371,1313.92237121829,849.580750608993,"X1800"
-619.834303467997,656.569746267287,1739.98668756873,604.847671394912,720.293754000528,"X1820"
-155.737695622051,1106.01886090363,2168.1343252327,1071.83507086103,701.901636448389,"X1840"
-298.643833890083,764.891374405137,1996.22362351608,777.137966415593,720.714212721818,"X1860"
1775.33677229095,3599.25093953105,5411.21768631285,3590.17133175127,1157.93431463632,"X1880"
3218.08708452427,5620.27751301235,7862.94955810769,5614.58243216269,1400.69757822831,"X1900"
1204.1946194907,2678.31293082852,4943.49627547374,2809.44171641221,1210.89551759871,"X1920"
-2633.40825003381,-906.281174104343,807.925456661911,-884.725709835148,1060.88383994225,"X1940"
-4243.1059057924,-2130.84096915575,-748.183807693935,-2276.45838518119,1046.2814559459,"X1960"
-2092.63317541253,-533.633468433622,582.033799422718,-606.012221976094,822.166742593382,"X1980"
167.457860698195,1229.10748289147,2061.17257245382,1191.42952653148,577.289275777777,"X2000"
577.748616067458,1482.40094769848,2419.66130829528,1501.0539305364,569.972421543087,"X2020"
-41.1990175822548,806.243269919481,2048.57865542887,881.626875503594,637.084609998541,"X2040"
-27.3005459631508,1006.01068100997,2261.25942723595,1052.9606148423,680.93628758581,"X2060"
3817.58659549383,5157.15821026143,6510.13143130673,5153.35566970243,814.298393791083,"X2080"
5889.10586055993,7496.74174030167,8911.54754608352,7450.46264128469,897.703464740591,"X2100"
4201.70795141562,5230.57638543673,6246.66496372806,5234.15608292158,670.85754277429,"X2120"
-2554.40139126057,-701.347213689715,1136.23051048989,-709.166042480498,1105.79024285717,"X2140"
-5348.19578700944,-3606.31283503109,-1292.28461175112,-3492.72007971476,1163.20624195144,"X2160"
-7164.35061164664,-5518.37284005093,-3721.27601245837,-5494.03984583629,1089.33676353807,"X2180"
-4535.84791933388,-3223.64995789378,-1803.55182330905,-3197.92054492623,840.083963124461,"X2200"
-1081.7915251603,269.787779461876,1938.6641458818,306.107112727891,984.99130447881,"X2220"
-24.5944521176762,2342.12421804009,5229.097693615,2454.35836298816,1571.47864278405,"X2240"
-3744.46513468824,44.0036726665006,2454.17053959287,-165.175857411177,1946.95422679272,"X2260"
3876.60235555254,5478.26287969029,8256.57290528943,5678.52557263429,1424.48995931053,"X2280"
-2640.91136558931,-975.701037548559,1023.21125244563,-901.047927347354,1127.12281015972,"X2300"
1023.41803654218,2876.65351823487,5337.06617272185,2967.47252319507,1308.67159915725,"X2320"
-2887.32887508546,-1547.24264192095,-111.626725332217,-1524.47722665891,868.072352845331,"X2340"
-4630.60779977083,-3379.43066308969,-2227.18025766562,-3384.38199160374,741.482304522349,"X2360"
-11380.7070510983,-8020.87721578455,-6072.61458097953,-8258.92504076877,1743.27186008603,"X2380"
-7914.51339127076,-5832.0588141428,-3956.03742668855,-5883.76207916149,1220.13939635079,"X2400"
