"5%","50%","95%","mean","stdv","BandName"
1148.65882362892,1236.57491245745,1327.03033091667,1235.93561532094,53.3226963304862,"Intercept"
-2898.62196464254,2435.74597081998,8831.48559030809,2661.03082480138,3603.59399286998,"X400"
-2327.64209919183,1557.22517933537,5893.65954599246,1656.07555128054,2541.9469491108,"X420"
-3748.42211105024,-871.25933195369,2009.71233720552,-838.224479230862,1746.68094442646,"X440"
-4944.40660990973,-1467.13835498782,561.066842479025,-1801.59882680626,1833.15560912657,"X460"
-5129.34523055499,-1533.59982385031,503.406049510734,-1827.24092758081,1798.72502322819,"X480"
-4372.75418437167,-348.920583749503,1747.35236794041,-740.963927220206,2091.21370452675,"X500"
13698.1860654407,19287.4063873369,25715.3772463893,19458.1883199325,3588.78090908451,"X520"
8590.02314833502,11727.856775246,16141.1729176312,11946.2195546177,2254.80946693115,"X540"
-10175.9374950515,-6036.2274624664,-2585.24808465144,-6177.00483049865,2373.97956549069,"X560"
-12874.982882043,-9956.64487780559,-7155.75308088619,-9992.73397620959,1680.91926919575,"X580"
-10145.4825413858,-7322.25901563447,-4933.46230636266,-7349.72223080615,1590.70866287264,"X600"
-8812.92375753432,-6252.83010795522,-3503.39112800395,-6223.45299561398,1596.6561144774,"X620"
-8747.68575105362,-6237.14946568114,-2910.54647121372,-6075.89148502275,1813.85835515334,"X640"
-9058.59855932856,-5861.22470793968,-2520.29873744913,-5836.49341431815,2053.94733180542,"X660"
-6122.15176896175,-2210.95838825631,2909.35005280178,-2033.74074703504,2863.69318771632,"X680"
1244.03545361313,7247.11543676097,14649.9966935724,7472.37821450532,4222.5802527237,"X700"
-19908.511378976,-13899.5718525861,-9690.52163719677,-14020.5605664393,3050.3818472746,"X720"
-8313.93153788121,-6301.97306287665,-3608.24861951286,-6204.61787421874,1421.43157458674,"X740"
-18062.6266100962,-15042.9318180803,-11975.5583203746,-15024.8942705742,1884.14776772442,"X760"
