"5%","50%","95%","mean","stdv","BandName"
10.2275138597236,28.9228242193698,44.0707646004991,28.4091553767166,10.4104121369861,"Intercept"
-2727.68046661609,2160.67213076363,6348.36972055801,2102.36799858471,2683.45309705076,"X400"
-8408.39386740523,-96.8480981185958,7776.62313709029,-234.63502461747,4892.35119360982,"X420"
-12019.1878470774,-5943.50091486406,532.089742050078,-5826.80912181258,3555.48225747061,"X440"
-1534.16032793514,3464.14052231347,8271.79396377987,3474.70860921354,3115.1068143454,"X460"
-933.544134358798,4269.42834478443,8324.24144445134,4074.95353315497,2691.77068367255,"X480"
-3429.29224139925,2070.59368979522,6787.67599655661,1882.89931556807,3341.82214189709,"X500"
-4983.22765879818,-1222.34447555394,3432.02073078466,-1044.16828827408,2612.02013315523,"X520"
-7824.50645259954,-1825.74480735307,4344.49553187569,-1798.16949856121,3735.09537481935,"X540"
-2523.61616730654,2449.03489169387,6768.62107403442,2420.569956987,2755.69980179435,"X560"
-10386.9673409671,-3834.81613554987,2012.64676324841,-3739.24665151654,3754.31264999152,"X580"
9280.35243737221,14976.496973634,22418.9968142309,15522.2089311653,4195.97234964671,"X600"
-42733.2057000266,-31606.6516342013,-21830.3992967397,-31778.565186296,6459.09710660341,"X620"
1253.50660154959,8127.02382730503,15968.188320827,8335.04072989465,4444.96074192787,"X640"
4494.99826373333,10750.893077113,17457.3265203087,10911.7833061276,3996.42825257634,"X660"
-11669.2204271713,-5553.24414494532,41.2669918817591,-5486.08104896572,3508.94620357843,"X680"
1305.84685898168,4566.4985290687,7898.48234051371,4665.69629929263,2109.86785334247,"X700"
-2069.07838890419,2142.21336925183,5344.39619054328,1855.78342511548,2304.94132081904,"X720"
-30682.1010169702,-24164.7938858961,-15536.5020632087,-23750.1278709738,4790.07524648767,"X740"
14513.5878855324,20420.1755629687,24968.1394682408,20184.3570318316,3304.92318243637,"X760"
